n_generaciones,metodo,repeticion,mejor_fitness,generacion_mejor_fitness,mejor_x,estabilidad_desv_prom,tiempo_ejecucion_seg
20,ruleta,1,0.9548856402106715,1,1049241720,0.08148628252182863,0.00080108642578125
20,ruleta,2,0.9921347087173823,19,1069510841,0.14958458188556184,0.0007028579711914062
20,ruleta,3,0.983155422035851,15,1064660052,0.15592435384677572,0.0006937980651855469
20,torneo,1,0.9960332459427963,16,1071610072,0.12204151372214818,0.0007641315460205078
20,torneo,2,0.9710608063396453,19,1058091151,0.13544135122896164,0.0006937980651855469
20,torneo,3,0.9994487162708953,16,1073445814,0.16043189344670444,0.0007300376892089844
20,elitismo,1,0.9887595031847585,14,1067690073,0.1323750067733872,0.0006840229034423828
20,elitismo,2,0.9991996400257391,15,1073312047,0.15604261643219006,0.0005879402160644531
20,elitismo,3,0.9813796984679786,7,1063698151,0.16575004604523194,0.0006122589111328125
100,ruleta,1,0.9733741359462494,57,1059350731,0.07580088972805331,0.0029680728912353516
100,ruleta,2,0.7032954282076265,100,900469001,0.04066471568505104,0.0029277801513671875
100,ruleta,3,0.9973512774022992,30,1072318858,0.08142734624127376,0.0029671192169189453
100,torneo,1,0.9999945648088348,93,1073738905,0.09475368398471957,0.0032529830932617188
100,torneo,2,0.922442831676412,100,1031263388,0.0997945638126462,0.0033159255981445312
100,torneo,3,0.9980308375411345,77,1072684116,0.0808385136425192,0.0031719207763671875
100,elitismo,1,0.9999808670005281,95,1073731551,0.08435089377360933,0.003033161163330078
100,elitismo,2,0.9995108007044673,100,1073479154,0.17014837631236307,0.002980947494506836
100,elitismo,3,0.9999999906867743,91,1073741818,0.08576914644360685,0.0026493072509765625
200,ruleta,1,0.9994469956619846,179,1073444890,0.08982101193964405,0.005624055862426758
200,ruleta,2,0.9958874131591574,197,1071531620,0.06040286487762139,0.005906820297241211
200,ruleta,3,0.9994223933511109,196,1073431678,0.07955609331025397,0.005761861801147461
200,torneo,1,0.9983954705711581,175,1072880052,0.07687482332883337,0.006274700164794922
200,torneo,2,0.9999845866707688,197,1073733548,0.05683345244069294,0.0063250064849853516
200,torneo,3,0.9997169966827993,199,1073589876,0.060851108569945196,0.006171226501464844
200,elitismo,1,0.9999998807907138,178,1073741759,0.08255221436328333,0.005126953125
200,elitismo,2,1.0,194,1073741823,0.062410563886768466,0.0049779415130615234
200,elitismo,3,1.0,91,1073741823,0.0688824567195467,0.004583120346069336
